1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"01","00000","a","danjo.0000","0","全国",128057352,1045975,1045417,1074194,1069540,1061622,1058489,1098856,1117316,1147733,1163267,1175275,1176598,1195772,1190404,1182986,1218766,1226037,1202514,1215892,1200148,1219150,1249329,1288282,1321513,1348159,1404312,1449555,1469956,1475731,1494147,1561305,1600983,1669936,1712263,1797010,1880293,1981982,2017073,1978648,1928353,1874292,1846761,1807649,1803149,1410014,1744172,1632518,1594519,1542921,1518986,1532059,1559648,1519884,1478697,1554211,1608361,1611287,1713738,1809889,1920459,2066423,2261917,2244319,2132584,1332006,1426865,1732916,1674435,1714817,1661140,1500984,1298743,1376960,1400129,1386486,1308845,1217357,1197125,1143547,1074139,990275,932127,868554,801946,743362,648870,547394,472872,411987,351465,316840,219756,192863,160027,132221,97626,77372,55845,39826,26087,17530,11094,6721,4020,1953,1191,652,359,188,96,78,976423,44.9587830799,45.0480563270,5296748,5585661,5921035,6063357,6426433,7293701,8341497,9786349,8741865,8033116,7644499,8663734,10037249,8210173,6963302,5941013,4336264,2432588,1021707,296756,41318,2486,78,16803444,81031800,29245685,14072210,3794933,43882,13.2226323275,63.7639342407,23.0134334319,11.0734239281,2.9862332845,0.0345307517
13,"01","00000","a","danjo.0001","1","　男",62327737,535357,534800,549618,547391,543415,541784,561736,572664,587557,596064,603214,602200,611951,608621,605957,625135,630044,617821,623883,612346,620070,633987,655100,671178,685905,711906,734612,744281,745319,755605,789707,810617,844822,866048,909817,952113,1003334,1019444,1001440,973791,946353,929854,909126,907805,707237,875220,820099,799335,772698,760617,765827,778349,756737,735910,772753,799902,800001,847340,893276,946970,1017505,1111132,1099971,1044270,647590,686748,830331,800182,816330,788183,707137,607840,637594,642992,629940,586255,537517,519347,489295,450526,406441,372484,339041,304029,270589,223708,177598,138353,112871,91692,79600,53653,44863,35831,27852,19836,14982,10098,6798,4025,2534,1505,838,481,240,127,66,38,17,2,3,570794,43.4139166749,43.2781263597,2710581,2859805,3031943,3109229,3266240,3691723,4221011,4950122,4400375,4027969,3809576,4287489,4920468,3921774,3225503,2582940,1692584,744222,241799,55739,5598,250,3,8602329,40684202,12470412,5323135,1047611,5851,13.9293309904,65.8779402342,20.1927287755,8.6194923865,1.6963453000,0.0094742384
14,"01","00000","a","danjo.0002","1","　女",65729615,510618,510617,524576,522149,518207,516705,537120,544652,560176,567203,572061,574398,583821,581783,577029,593631,595993,584693,592009,587802,599080,615342,633182,650335,662254,692406,714943,725675,730412,738542,771598,790366,825114,846215,887193,928180,978648,997629,977208,954562,927939,916907,898523,895344,702777,868952,812419,795184,770223,758369,766232,781299,763147,742787,781458,808459,811286,866398,916613,973489,1048918,1150785,1144348,1088314,684416,740117,902585,874253,898487,872957,793847,690903,739366,757137,756546,722590,679840,677778,654252,623613,583834,559643,529513,497917,472773,425162,369796,334519,299116,259773,237240,166103,148000,124196,104369,77790,62390,45747,33028,22062,14996,9589,5883,3539,1713,1064,586,321,171,94,75,405629,46.4192914223,46.7107465483,2586167,2725856,2889092,2954128,3160193,3601978,4120486,4836227,4341490,4005147,3834923,4376245,5116781,4288399,3737799,3358073,2643680,1688366,779908,241017,35720,2236,75,8201115,40347598,16775273,8749075,2747322,38031,12.5545232344,61.7653644099,25.6801123557,13.3933575333,4.2056864074,0.0582190438
15,"01","00001","b","danjo.0000","0","全国 市部",116156631,957613,955509,979630,973713,964881,960945,996590,1012702,1038919,1052810,1063380,1064045,1080856,1074624,1065664,1099646,1106437,1083678,1108299,1108423,1126172,1152311,1187786,1217508,1242207,1293924,1336111,1354896,1359362,1376050,1437071,1474225,1536119,1575097,1652873,1730184,1824302,1858944,1824043,1777700,1727499,1702680,1663755,1657525,1294948,1599554,1492773,1454921,1404198,1377343,1386260,1405976,1366695,1326995,1392476,1439271,1441063,1532362,1620206,1720743,1854926,2036578,2022471,1927037,1205230,1291007,1567809,1514158,1549869,1501394,1352199,1167401,1233861,1254990,1241459,1168818,1082557,1063306,1012711,948931,871607,819122,761718,702103,650157,566313,476424,412407,359220,306703,275843,191994,167548,139287,115138,84953,67486,48521,34623,22683,15280,9589,5808,3471,1698,1023,572,316,163,85,63,955509,44.7272971873,44.5898715624,4831346,5061966,5348569,5506483,5925984,6720343,7675385,9015173,8046407,7328789,6878402,7753645,9046242,7424237,6249910,5276323,3804707,2121067,889810,258266,35846,2159,63,15241881,73896853,26062388,12388241,3307211,38068,13.2306706179,64.1459490299,22.6233803521,10.7535766883,2.8708149214,0.0330448170
16,"01","00001","b","danjo.0001","1","　男",56569051,490046,488738,501305,498472,493914,491832,509375,518893,531896,539633,545683,544387,553014,548921,545972,564008,568593,556534,568457,565493,573225,584980,603930,618302,631590,655268,676390,685383,685752,694955,725917,745265,776247,795631,836021,875435,922266,938869,922508,897494,872184,857782,836977,834920,650085,803064,750309,729135,703210,689432,692740,701622,680354,659716,691404,715278,714100,756178,798406,846745,911789,998139,988385,941363,585203,620306,750530,723043,737455,712201,637100,546420,571373,576594,564171,524145,478511,461223,433085,397789,357702,327136,297443,266431,236919,195782,154644,120685,98436,79777,69141,46765,38913,31102,24336,17292,13066,8742,5928,3517,2204,1291,720,421,208,100,63,35,14,2,2,557174,43.2135291503,42.9622468718,2472475,2591629,2737977,2823085,3012027,3397748,3879081,4556572,4051948,3675150,3425836,3830707,4424879,3543535,2895658,2294753,1485631,649324,210257,48545,4844,214,2,7802081,37077033,11132763,4693570,913186,5060,13.9293332377,66.1949482607,19.8757185016,8.3795977771,1.6303435073,0.0090337983
17,"01","00001","b","danjo.0002","1","　女",59587580,467567,466771,478325,475241,470967,469113,487215,493809,507023,513177,517697,519658,527842,525703,519692,535638,537844,527144,539842,542930,552947,567331,583856,599206,610617,638656,659721,669513,673610,681095,711154,728960,759872,779466,816852,854749,902036,920075,901535,880206,855315,844898,826778,822605,644863,796490,742464,725786,700988,687911,693520,704354,686341,667279,701072,723993,726963,776184,821800,873998,943137,1038439,1034086,985674,620027,670701,817279,791115,812414,789193,715099,620981,662488,678396,677288,644673,604046,602083,579626,551142,513905,491986,464275,435672,413238,370531,321780,291722,260784,226926,206702,145229,128635,108185,90802,67661,54420,39779,28695,19166,13076,8298,5088,3050,1490,923,509,281,149,83,61,398335,46.1598038715,46.2545827138,2358871,2470337,2610592,2683398,2913957,3322595,3796304,4458601,3994459,3653639,3452566,3922938,4621363,3880702,3354252,2981570,2319076,1471743,679553,209721,31002,1945,61,7439800,36819820,14929625,7694671,2394025,33008,12.5695132621,62.2069431702,25.2235435678,13.0001168287,4.0446959579,0.0557668881
18,"01","00002","b","danjo.0000","0","全国 郡部",11900721,88362,89908,94564,95827,96741,97544,102266,104614,108814,110457,111895,112553,114916,115780,117322,119120,119600,118836,107593,91725,92978,97018,100496,104005,105952,110388,113444,115060,116369,118097,124234,126758,133817,137166,144137,150109,157680,158129,154605,150653,146793,144081,143894,145624,115066,144618,139745,139598,138723,141643,145799,153672,153189,151702,161735,169090,170224,181376,189683,199716,211497,225339,221848,205547,126776,135858,165107,160277,164948,159746,148785,131342,143099,145139,145027,140027,134800,133819,130836,125208,118668,113005,106836,99843,93205,82557,70970,60465,52767,44762,40997,27762,25315,20740,17083,12673,9886,7324,5203,3404,2250,1505,913,549,255,168,80,43,25,11,15,20914,47.2035530964,49.3687404249,465402,523695,572466,556874,500449,573358,666112,771176,695458,704327,766097,910089,991007,785936,713392,664690,531557,311521,131897,38490,5472,327,15,1561563,7134947,3183297,1683969,487722,5814,13.1446832427,60.0594521443,26.7958646130,14.1750535173,4.1054707370,0.0489401890
19,"01","00002","b","danjo.0001","1","　男",5758686,45311,46062,48313,48919,49501,49952,52361,53771,55661,56431,57531,57813,58937,59700,59985,61127,61451,61287,55426,46853,46845,49007,51170,52876,54315,56638,58222,58898,59567,60650,63790,65352,68575,70417,73796,76678,81068,80575,78932,76297,74169,72072,72149,72885,57152,72156,69790,70200,69488,71185,73087,76727,76383,76194,81349,84624,85901,91162,94870,100225,105716,112993,111586,102907,62387,66442,79801,77139,78875,75982,70037,61420,66221,66398,65769,62110,59006,58124,56210,52737,48739,45348,41598,37598,33670,27926,22954,17668,14435,11915,10459,6888,5950,4729,3516,2544,1916,1356,870,508,330,214,118,60,32,27,3,3,3,-,1,13620,45.3676072651,47.1723646724,238106,268176,293966,286144,254213,293975,341930,393550,348427,352819,383740,456782,495589,378239,329845,288187,206953,94898,31542,7194,754,36,1,800248,3607169,1337649,629565,134425,791,13.9293090802,62.7872508340,23.2834400858,10.9583597473,2.3398338679,0.0137683362
20,"01","00002","b","danjo.0002","1","　女",6142035,43051,43846,46251,46908,47240,47592,49905,50843,53153,54026,54364,54740,55979,56080,57337,57993,58149,57549,52167,44872,46133,48011,49326,51129,51637,53750,55222,56162,56802,57447,60444,61406,65242,66749,70341,73431,76612,77554,75673,74356,72624,72009,71745,72739,57914,72462,69955,69398,69235,70458,72712,76945,76806,75508,80386,84466,84323,90214,94813,99491,105781,112346,110262,102640,64389,69416,85306,83138,86073,83764,78748,69922,76878,78741,79258,77917,75794,75695,74626,72471,69929,67657,65238,62245,59535,54631,48016,42797,38332,32847,30538,20874,19365,16011,13567,10129,7970,5968,4333,2896,1920,1291,795,489,223,141,77,40,22,11,14,7294,48.9228807704,51.4762817597,227296,255519,278500,270730,246236,279383,324182,377626,347031,351508,382357,453307,495418,407697,383547,376503,324604,216623,100355,31296,4718,291,14,761315,3527778,1845648,1054404,353297,5023,12.4098963591,57.5049215607,30.0851820802,17.1874248644,5.7589554310,0.0818779473
21,"01","01000","a","danjo.0000","0","北海道",5506419,39461,39125,40479,41108,40804,40830,43414,43952,45594,45390,45525,46444,48044,48628,48514,50634,51924,51627,53114,51231,51369,52012,53448,53504,53852,56241,57438,58653,58053,59292,62286,64783,68161,69452,73381,77696,79840,80178,78988,76809,74485,73384,72630,74691,59028,72733,69593,69575,68601,69290,69684,70252,68268,69035,71932,75537,78595,84107,89011,93437,100573,104689,99779,90095,69199,65192,74739,75382,75451,72835,68247,61171,66989,64947,62997,63021,58940,56803,54011,51040,48653,43905,42078,37703,34298,30982,26655,22614,20029,16454,14894,10254,9106,7434,6093,4318,3436,2411,1766,1224,816,497,289,184,86,57,37,17,6,5,2,8870,46.4937886866,47.7323392023,200977,219180,237155,258530,264185,289677,338063,393511,354218,349792,349171,420687,464335,363599,324351,283815,206637,116734,47781,13155,1872,122,2,657312,3482169,1358068,670118,179666,1996,11.9564555041,63.3403904176,24.7031540783,12.1893956743,3.2681109345,0.0363070888
22,"01","01000","a","danjo.0001","1","　男",2603345,20142,20012,20708,20862,21042,20723,22056,22282,23224,23002,23298,23756,24546,24903,24797,25868,26482,26623,27233,26150,25950,26426,26941,26906,26874,27668,28449,28936,28450,29304,30839,32180,33415,34272,36247,38555,39339,39457,39039,37801,36388,35398,34910,35882,28182,34975,33375,33258,33065,33511,33903,33863,32918,33374,34591,36421,37862,40089,42196,44289,47707,49115,47073,42130,31712,29802,34456,34305,33865,32549,30915,27220,29567,28974,28156,27818,26095,24611,23421,21802,20393,17775,16450,14460,12658,11108,8864,6724,5655,4411,3866,2712,2236,1754,1375,1001,790,474,322,233,153,74,42,25,10,11,4,1,2,1,1,5260,44.7820808403,45.6726375983,102766,111287,121300,132356,133097,142807,166953,194191,170760,168184,168649,200857,217737,164977,144832,123747,81736,36762,11943,2820,304,19,1,335353,1695591,567141,257332,51849,324,12.9076993247,65.2631072501,21.8291934252,9.9046797930,1.9956621897,0.0124707236
23,"01","01000","a","danjo.0002","1","　女",2903074,19319,19113,19771,20246,19762,20107,21358,21670,22370,22388,22227,22688,23498,23725,23717,24766,25442,25004,25881,25081,25419,25586,26507,26598,26978,28573,28989,29717,29603,29988,31447,32603,34746,35180,37134,39141,40501,40721,39949,39008,38097,37986,37720,38809,30846,37758,36218,36317,35536,35779,35781,36389,35350,35661,37341,39116,40733,44018,46815,49148,52866,55574,52706,47965,37487,35390,40283,41077,41586,40286,37332,33951,37422,35973,34841,35203,32845,32192,30590,29238,28260,26130,25628,23243,21640,19874,17791,15890,14374,12043,11028,7542,6870,5680,4718,3317,2646,1937,1444,991,663,423,247,159,76,46,33,16,4,4,1,3610,48.0275764762,49.6686603874,98211,107893,115855,126174,131088,146870,171110,199320,183458,181608,180522,219830,246598,198622,179519,160068,124901,79972,35838,10335,1568,103,1,321959,1786578,790927,412786,127817,1672,11.1040868243,61.6175265497,27.2783866259,14.2366313222,4.4082975336,0.0576658307
24,"01","01100","1","danjo.0000","0","札幌市",1913545,14239,14042,14302,14159,14134,13730,14673,14673,15308,15208,15232,15517,16219,16387,16389,16849,17408,17021,20124,21495,21712,22037,22923,22928,23145,24177,24286,24526,23920,24331,25303,26101,27055,27365,28534,30284,30849,31176,30849,30084,28980,28553,28032,28491,22466,27257,25979,25698,25151,24747,24645,24796,23482,23638,24438,25760,26194,27449,28874,30430,33295,34877,32546,29632,22421,21086,23689,23392,23229,22007,20331,17494,19025,18342,17730,17659,16453,15998,15107,14395,13619,12347,11666,10462,9455,8393,7307,6028,5596,4459,3855,2710,2343,1922,1574,1154,934,646,477,328,239,150,85,51,25,13,12,6,2,1,-,5224,44.4013357816,44.0627837621,70876,73592,79744,92897,112745,121240,134358,153242,136522,128832,120999,138707,152771,113403,92922,79612,57549,31783,12404,3539,550,34,-,224212,1292313,391796,185471,48310,584,11.7491763702,67.7198961810,20.5309274488,9.7190671800,2.5315447454,0.0306028179
25,"01","01100","1","danjo.0001","1","　男",896850,7269,7154,7194,7188,7250,6962,7465,7430,7760,7697,7794,7887,8260,8347,8272,8535,8668,8620,10039,10786,10710,11035,11372,11353,11233,11410,11510,11513,11306,11653,12100,12663,12920,13209,13737,14685,14938,14951,14883,14655,13905,13524,13332,13530,10492,12840,12156,11995,11891,11634,11700,11589,10910,11071,11540,12158,12378,12790,13552,14285,15691,16250,15228,13980,10303,9676,11117,10699,10480,9864,9383,7709,8339,7982,7817,7619,7080,6673,6265,5883,5553,4912,4426,3954,3544,2959,2396,1750,1548,1120,963,749,610,467,350,261,218,125,79,58,39,27,8,10,1,3,1,1,1,-,-,2994,42.9207747109,42.5315031503,36055,37314,40560,46648,55703,57392,64629,74112,64783,60516,56810,65163,71452,51836,41230,33520,22389,9773,3139,741,85,6,-,113929,617208,162719,69653,13744,91,12.7457890309,69.0500483299,18.2041626392,7.7924184656,1.5376078473,0.0101806107
26,"01","01100","1","danjo.0002","1","　女",1016695,6970,6888,7108,6971,6884,6768,7208,7243,7548,7511,7438,7630,7959,8040,8117,8314,8740,8401,10085,10709,11002,11002,11551,11575,11912,12767,12776,13013,12614,12678,13203,13438,14135,14156,14797,15599,15911,16225,15966,15429,15075,15029,14700,14961,11974,14417,13823,13703,13260,13113,12945,13207,12572,12567,12898,13602,13816,14659,15322,16145,17604,18627,17318,15652,12118,11410,12572,12693,12749,12143,10948,9785,10686,10360,9913,10040,9373,9325,8842,8512,8066,7435,7240,6508,5911,5434,4911,4278,4048,3339,2892,1961,1733,1455,1224,893,716,521,398,270,200,123,77,41,24,10,11,5,1,1,-,2230,45.7058740321,45.6390025664,34821,36278,39184,46249,57042,63848,69729,79130,71739,68316,64189,73544,81319,61567,51692,46092,35160,22010,9265,2798,465,28,-,110283,675105,229077,115818,34566,493,10.8710502580,66.5478848457,22.5810648963,11.4166580414,3.4073132144,0.0485970438
27,"01","02000","a","danjo.0000","0","青森県",1373339,9321,9098,9931,9901,10210,10266,11009,11535,12075,12473,12471,12917,13465,13567,13603,14393,14859,14506,12853,10697,10521,10966,11305,11376,12037,12444,12938,13104,13355,13897,14540,15054,15460,16045,16600,17274,17745,18104,17585,17410,17653,17402,18046,17604,14394,17833,17402,17241,17733,18090,18293,19285,18772,18489,19188,20408,20577,21662,22037,22928,25124,25562,24174,23852,14770,15363,18299,18341,18636,17782,16700,14765,17989,17992,17248,17158,16490,16128,15099,14426,13047,11633,11865,10136,9023,8355,6834,5499,4779,4350,3762,2407,2164,1783,1453,958,753,564,362,251,171,93,58,27,15,2,5,-,2,-,1,5142,46.9977696925,49.1039524599,48461,57358,66023,67308,56205,65738,77699,88118,85099,88299,94027,107612,113482,88421,84694,79301,55704,29817,11569,2888,364,9,1,171842,843587,352768,179653,44648,374,12.5597410314,61.6568374291,25.7834215394,13.1306383511,3.2632727597,0.0273352449
28,"01","02000","a","danjo.0001","1","　男",646141,4721,4684,5091,5022,5100,5224,5630,5921,6223,6272,6387,6575,6816,6915,7004,7240,7744,7459,6545,5315,5350,5530,5793,5632,6024,6295,6528,6612,6677,7063,7389,7582,7848,8080,8225,8695,8914,8935,8763,8518,8727,8526,8854,8517,6969,8709,8431,8426,8669,8797,8895,9370,9058,8937,9115,9731,10016,10396,10774,10927,11934,12223,11786,11483,6862,7153,8410,8288,8339,7802,7422,6534,7700,7689,7393,7191,6873,6589,5961,5626,4963,4465,4197,3557,3051,2659,2030,1449,1190,1026,889,583,459,349,239,197,133,94,64,29,23,7,4,4,3,1,1,-,-,-,-,3032,44.8859112530,46.5825524849,24618,29270,33697,34303,28329,33175,39124,43825,41593,43032,45375,51844,54288,39992,36738,32240,20233,8354,2519,517,41,2,-,87585,414888,140636,63906,11433,43,13.6189977127,64.5128586289,21.8681436584,9.9370402218,1.7777701758,0.0066862694
29,"01","02000","a","danjo.0002","1","　女",727198,4600,4414,4840,4879,5110,5042,5379,5614,5852,6201,6084,6342,6649,6652,6599,7153,7115,7047,6308,5382,5171,5436,5512,5744,6013,6149,6410,6492,6678,6834,7151,7472,7612,7965,8375,8579,8831,9169,8822,8892,8926,8876,9192,9087,7425,9124,8971,8815,9064,9293,9398,9915,9714,9552,10073,10677,10561,11266,11263,12001,13190,13339,12388,12369,7908,8210,9889,10053,10297,9980,9278,8231,10289,10303,9855,9967,9617,9539,9138,8800,8084,7168,7668,6579,5972,5696,4804,4050,3589,3324,2873,1824,1705,1434,1214,761,620,470,298,222,148,86,54,23,12,1,4,-,2,-,1,2110,48.8708598129,51.3836611195,23843,28088,32326,33005,27876,32563,38575,44293,43506,45267,48652,55768,59194,48429,47956,47061,35471,21463,9050,2371,323,7,1,84257,428699,212132,115747,33215,331,11.6202447151,59.1237201553,29.2560351295,15.9631658502,4.5808232932,0.0456496315
30,"01","03000","a","danjo.0000","0","岩手県",1330147,9595,9749,9963,10253,10125,10546,10919,11207,11833,12027,12147,12515,12599,12671,12655,13712,13880,13921,12683,10441,10588,10536,10846,10989,11780,11912,12710,12795,13155,13306,13826,14313,15179,15341,16239,16632,16993,16964,16677,15801,15985,16215,16331,16295,13130,16406,16198,16384,16510,16616,17159,17873,17927,17235,18454,19260,19464,20273,21277,21623,22936,23716,22660,20897,13737,14052,17717,17478,17818,17457,16919,15425,17087,17062,17371,17279,16293,16039,15719,14780,14036,13092,12091,11206,10548,9107,7607,6435,5355,4689,4385,2822,2464,2178,1787,1232,886,736,522,323,186,159,72,39,17,10,7,5,-,3,3,5065,47.3865723027,49.5454983149,49685,56532,62587,64637,54739,63878,74898,83067,77956,82114,88648,101897,103946,84522,83864,80110,60973,33193,13636,3699,473,25,3,168804,795780,360498,192112,51029,501,12.7391361440,60.0551513038,27.2057125521,14.4981216257,3.8510069566,0.0378089809
